miRNA_signature	Cancer_type	Expression	classification	score_details	Classification	Score_Details
(`hsa-miR-106b-5p` + `hsa-miR-106b-3p` + `hsa-miR-18a-3p` + `hsa-miR-18a-5p` + `hsa-miR-200b-5p` + `hsa-miR-455-3p` + `hsa-miR-455-5p`)	STAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.476422560601669 ( Granulocyte-monocyte progenitor_XCELL(-0.301834558745139), Common lymphoid progenitor_XCELL(0.296241412191217), T cell CD4+ Th1_XCELL(0.482015707155591) ) Pró-tumoral: -0.990754725153608 ( Cancer associated fibroblast_XCELL(-0.638539238195079), Endothelial cell_XCELL(-0.352215486958529) ) Dualista: -0.734840173087743 ( Hematopoietic stem cell_XCELL(-0.546996090518335), Mast cell activated_CIBERSORT(-0.467006891434832), T cell CD4+ Th2_XCELL(0.279162808865424) )
(`hsa-miR-106b-5p` + `hsa-miR-106b-3p` + `hsa-miR-18a-5p` + `hsa-miR-18a-3p` + `hsa-miR-455-3p`)	LUSC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.542164018942772 ( Common lymphoid progenitor_XCELL(0.264625875825491), T cell CD4+ Th1_XCELL(0.277538143117281) ) Pró-tumoral: -0.55475516004498 ( Endothelial cell_XCELL(-0.273962177348981), Cancer associated fibroblast_XCELL(-0.280792982695999) ) Dualista: -0.318539429075311 ( Hematopoietic stem cell_XCELL(-0.318539429075311) )
(`hsa-miR-106b-5p` + `hsa-miR-106b-3p`)	SKCM	Unchanged			NS	No data
(`hsa-miR-106b-5p` + `hsa-miR-182-5p` + `hsa-miR-18a-3p` + `hsa-miR-18a-5p` + `hsa-miR-200b-3p` + `hsa-miR-200b-5p` + `hsa-miR-455-3p`)	BRCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.696986347804882 ( T cell CD4+ Th1_XCELL(0.318009298501474), Myeloid dendritic cell activated_CIBERSORT(0.168668931386153), T cell CD4+ memory activated_CIBERSORT(0.210308117917255) ) Pró-tumoral: -0.761017434602291 ( Cancer associated fibroblast_XCELL(-0.401253968515985), Endothelial cell_XCELL(-0.359763466086306) ) Dualista: -0.000456550016318003 ( Macrophage M0_CIBERSORT(0.200597968297517), T cell follicular helper_CIBERSORT(0.191426091768403), T cell CD4+ Th2_XCELL(0.452519035851857), Mast cell activated_CIBERSORT(-0.425258282577611), Hematopoietic stem cell_XCELL(-0.419741363356484) )
(`hsa-miR-106b-5p` + `hsa-miR-182-5p` + `hsa-miR-18a-3p` + `hsa-miR-18a-5p`)	HNSC	Overexpression	Variável	Macrophage M2_CIBERSORT, -0.252546087321077, 1, Variable	anti-tumoral	Anti-tumoral: 0.28037241652518 ( Common lymphoid progenitor_XCELL(0.28037241652518) ) Pró-tumoral: -0.526766847495591 ( Endothelial cell_XCELL(-0.274220760174514), Macrophage M2_CIBERSORT(-0.252546087321077) ) Dualista: -0.269723474179334 ( Hematopoietic stem cell_XCELL(-0.27809833942997), T cell CD4+ Th2_XCELL(0.247206731387047), Mast cell activated_CIBERSORT(-0.238831866136411) )
(`hsa-miR-106b-5p` + `hsa-miR-182-5p` + `hsa-miR-18a-5p`)	LUAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.037426191824947 ( Granulocyte-monocyte progenitor_XCELL(-0.368418996269954), T cell CD4+ Th1_XCELL(0.405845188094901) ) Pró-tumoral: -0.630369918879589 ( Cancer associated fibroblast_XCELL(-0.37484946356804), Endothelial cell_XCELL(-0.255520455311549) ) Dualista: -0.343379893178142 ( T cell follicular helper_CIBERSORT(0.283970235834399), Myeloid dendritic cell resting_CIBERSORT(-0.249775366487188), T cell CD4+ Th2_XCELL(0.28623535905173), Mast cell activated_CIBERSORT(-0.283757222428714), Hematopoietic stem cell_XCELL(-0.380052899148369) )
(`hsa-miR-106b-5p` + `hsa-miR-18a-3p` + `hsa-miR-18a-5p`)	THYM	Unchanged	Variável	"c(""""Macrophage M2_CIBERSORT"""", """"Macrophage M1_CIBERSORT"""", """"T cell regulatory (Tregs)_CIBERSORT"""", """"NK cell activated_CIBERSORT""""), c(-0.596075401704037, -0.559344243672228, 0.558550602861398, -0.484070672541445), c(1, 1, 1, 3), c(""""Cold"""", """"Cold"""", """"Variable"""", """"Variable"""")"	dualista	Anti-tumoral: 0.228027284778788 ( Macrophage M1_CIBERSORT(-0.559344243672228), Common lymphoid progenitor_XCELL(0.630763287335704), T cell CD4+ Th1_XCELL(0.640678913656757), NK cell activated_CIBERSORT(-0.484070672541445) ) Pró-tumoral: -0.0375247988426389 ( Macrophage M2_CIBERSORT(-0.596075401704037), T cell regulatory (Tregs)_CIBERSORT(0.558550602861398) ) Dualista: 1.83340366094458 ( T cell CD4+ Th2_XCELL(0.798117050601545), T cell CD4+ naive_CIBERSORT(0.508477369309094), T cell follicular helper_CIBERSORT(0.526809241033938) )
(`hsa-miR-106b-5p` + `hsa-miR-18a-5p`)	READ	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
(`hsa-miR-106b-5p` + `hsa-miR-26a-2-3p`)	COAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: -0.064430183181435 ( T cell CD4+ Th1_XCELL(0.393035938892759), Granulocyte-monocyte progenitor_XCELL(-0.457466122074194) ) Pró-tumoral: -0.406912220452727 ( Endothelial cell_XCELL(-0.406912220452727) ) Dualista: -0.447417021199911 ( Hematopoietic stem cell_XCELL(-0.447417021199911) )
(`hsa-miR-107` + `hsa-miR-128-1-5p` + `hsa-miR-128-3p` + `hsa-miR-1301-3p` + `hsa-miR-148b-3p` + `hsa-miR-148b-5p` + `hsa-miR-183-3p` + `hsa-miR-183-5p` + `hsa-miR-186-5p` + `hsa-miR-192-3p` + `hsa-miR-193a-3p` + `hsa-miR-197-3p` + `hsa-miR-20a-3p` + `hsa-miR-210-3p` + `hsa-miR-210-5p` + `hsa-miR-26b-3p` + `hsa-miR-301a-3p` + `hsa-miR-30d-3p` + `hsa-miR-3127-5p` + `hsa-miR-335-3p` + `hsa-miR-33a-3p` + `hsa-miR-33b-5p` + `hsa-miR-342-5p` + `hsa-miR-423-3p` + `hsa-miR-454-3p` + `hsa-miR-505-3p` + `hsa-miR-7-5p` + `hsa-miR-7-5p` + `hsa-miR-760` + `hsa-miR-9-5p` + `hsa-miR-9-5p` + `hsa-miR-96-5p` + `hsa-let-7g-3p`)	BLCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: -0.020641790414725 ( Granulocyte-monocyte progenitor_XCELL(-0.306636869838693), T cell CD4+ Th1_XCELL(0.285995079423968) ) Pró-tumoral: -0.790568347813494 ( Endothelial cell_XCELL(-0.280598029975544), Cancer associated fibroblast_XCELL(-0.50997031783795) ) Dualista: -0.773740800074615 ( Hematopoietic stem cell_XCELL(-0.43666998269038), Mast cell activated_CIBERSORT(-0.337070817384235) )
(`hsa-miR-107` + `hsa-miR-128-1-5p` + `hsa-miR-150-3p` + `hsa-miR-301a-5p` + `hsa-miR-33a-5p` + `hsa-miR-33b-5p` + `hsa-miR-342-3p` + `hsa-miR-342-5p` + `hsa-miR-454-3p` + `hsa-miR-7-5p` + `hsa-miR-7-5p`)	THYM	Unchanged	Frio	"c(""""Macrophage M1_CIBERSORT"""", """"T cell regulatory (Tregs)_CIBERSORT"""", """"Macrophage M2_CIBERSORT""""), c(-0.571027223735458, 0.534266257184814, -0.526760724840114), c(1, 1, 1), c(""""Cold"""", """"Variable"""", """"Cold"""")"	dualista	Anti-tumoral: 0.62645252190825 ( Macrophage M1_CIBERSORT(-0.571027223735458), Common lymphoid progenitor_XCELL(0.610023432330423), T cell CD4+ Th1_XCELL(0.587456313313285) ) Pró-tumoral: 0.00750553234469997 ( T cell regulatory (Tregs)_CIBERSORT(0.534266257184814), Macrophage M2_CIBERSORT(-0.526760724840114) ) Dualista: 1.65056783793503 ( T cell CD4+ naive_CIBERSORT(0.492490003440538), T cell follicular helper_CIBERSORT(0.505171103068567), T cell CD4+ Th2_XCELL(0.652906731425924) )
(`hsa-miR-107` + `hsa-miR-128-3p` + `hsa-miR-148b-5p` + `hsa-miR-183-5p` + `hsa-miR-186-5p` + `hsa-miR-20a-3p` + `hsa-miR-20a-5p` + `hsa-miR-335-3p` + `hsa-miR-335-5p` + `hsa-miR-33b-5p` + `hsa-miR-452-3p` + `hsa-miR-454-3p` + `hsa-miR-7-5p` + `hsa-miR-7-5p` + `hsa-miR-96-5p` + `hsa-let-7g-5p`)	COAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.00806498400690803 ( T cell CD4+ Th1_XCELL(0.459181971491587), Granulocyte-monocyte progenitor_XCELL(-0.451116987484679) ) Pró-tumoral: -0.469613290227647 ( Endothelial cell_XCELL(-0.469613290227647) ) Dualista: -0.478241937239036 ( Hematopoietic stem cell_XCELL(-0.478241937239036) )
(`hsa-miR-107` + `hsa-miR-128-3p` + `hsa-miR-183-3p` + `hsa-miR-197-3p`)	STAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.47206019435142 ( Granulocyte-monocyte progenitor_XCELL(-0.299986728483863), Common lymphoid progenitor_XCELL(0.281463748023756), T cell CD4+ Th1_XCELL(0.490583174811527) ) Pró-tumoral: -0.87352078155206 ( Endothelial cell_XCELL(-0.29931353263139), Cancer associated fibroblast_XCELL(-0.57420724892067) ) Dualista: -0.38948432079384 ( Hematopoietic stem cell_XCELL(-0.549097096329), T cell CD4+ Th2_XCELL(0.324397594905864), T cell follicular helper_CIBERSORT(0.290216114314106), Mast cell activated_CIBERSORT(-0.45500093368481) )
(`hsa-miR-107` + `hsa-miR-1301-3p` + `hsa-miR-148b-3p` + `hsa-miR-186-5p`)	SKCM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0.316601436551686 ( T cell CD4+ Th2_XCELL(0.316601436551686) )
(`hsa-miR-107` + `hsa-miR-1301-3p` + `hsa-miR-183-3p` + `hsa-miR-183-5p` + `hsa-miR-192-5p` + `hsa-miR-193b-3p` + `hsa-miR-20a-5p` + `hsa-miR-210-3p` + `hsa-miR-210-5p` + `hsa-miR-301a-3p` + `hsa-miR-301a-5p` + `hsa-miR-3127-5p` + `hsa-miR-33a-3p` + `hsa-miR-33a-5p` + `hsa-miR-33b-5p` + `hsa-miR-423-3p` + `hsa-miR-454-3p` + `hsa-miR-760` + `hsa-miR-92b-3p` + `hsa-miR-92b-5p` + `hsa-miR-96-5p` + `hsa-let-7g-3p`)	BRCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.732947236005319 ( T cell CD4+ memory activated_CIBERSORT(0.211856292719658), Common lymphoid progenitor_XCELL(0.193279505672497), T cell CD4+ Th1_XCELL(0.327811437613164) ) Pró-tumoral: -0.951183293976611 ( Cancer associated fibroblast_XCELL(-0.492619965729659), Endothelial cell_XCELL(-0.458563328246952) ) Dualista: -0.251162824043571 ( Macrophage M0_CIBERSORT(0.236999408893355), Mast cell activated_CIBERSORT(-0.419477789609412), T cell CD4+ Th2_XCELL(0.496391331991346), Hematopoietic stem cell_XCELL(-0.56507577531886) )
(`hsa-miR-10a-3p` + `hsa-miR-10a-5p`)	LIHC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.297810117951619 ( T cell CD4+ Th1_XCELL(-0.297810117951619) ) Pró-tumoral: -0.905726813475147 ( Endothelial cell_XCELL(0.372924862255086), Cancer associated fibroblast_XCELL(0.532801951220061) ) Dualista: -0.527113336505539 ( Hematopoietic stem cell_XCELL(0.527113336505539) )
(`hsa-miR-10b-5p` + `hsa-miR-133a-3p` + `hsa-miR-133a-5p` + `hsa-miR-133b` + `hsa-miR-199a-5p`)	UCEC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -0.398175852052385 ( Cancer associated fibroblast_XCELL(0.398175852052385) ) Dualista: 0 (  )
(`hsa-miR-1185-1-3p` + `hsa-miR-1247-5p` + `hsa-miR-1262` + `hsa-miR-134-3p` + `hsa-miR-134-5p` + `hsa-miR-154-5p` + `hsa-miR-199b-5p` + `hsa-miR-299-5p` + `hsa-miR-299-3p` + `hsa-miR-329-3p` + `hsa-miR-337-3p` + `hsa-miR-34c-5p` + `hsa-miR-369-5p` + `hsa-miR-376c-3p` + `hsa-miR-379-3p` + `hsa-miR-379-5p` + `hsa-miR-381-3p` + `hsa-miR-381-5p` + `hsa-miR-432-5p` + `hsa-miR-483-3p` + `hsa-miR-483-5p` + `hsa-miR-487a-5p` + `hsa-miR-496` + `hsa-miR-758-3p` + `hsa-miR-758-5p` + `hsa-miR-944` + `hsa-let-7a-5p`)	BRCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.348346995620086 ( T cell CD4+ Th1_XCELL(-0.348346995620086) ) Pró-tumoral: -0.910325725013804 ( Cancer associated fibroblast_XCELL(0.52465201073767), Endothelial cell_XCELL(0.385673714276134) ) Dualista: -0.504966564631877 ( Hematopoietic stem cell_XCELL(0.519923052459657), T cell CD4+ Th2_XCELL(-0.184152881755776), T cell gamma delta_CIBERSORT(0.169196393927996) )
(`hsa-miR-1224-5p` + `hsa-miR-340-3p` + `hsa-miR-484` + `hsa-miR-660-5p` + `hsa-miR-877-5p`)	BRCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.572323643207739 ( T cell CD4+ memory activated_CIBERSORT(0.250335596914859), T cell CD4+ Th1_XCELL(0.32198804629288) ) Pró-tumoral: -0.711403502520539 ( Cancer associated fibroblast_XCELL(-0.374176750941094), Endothelial cell_XCELL(-0.337226751579445) ) Dualista: -0.181446164914621 ( T cell CD4+ Th2_XCELL(0.484831608517409), Mast cell activated_CIBERSORT(-0.437076959354815), Hematopoietic stem cell_XCELL(-0.452474054743427), Macrophage M0_CIBERSORT(0.223273240666212) )
(`hsa-miR-1228-3p` + `hsa-miR-1262` + `hsa-miR-199b-3p` + `hsa-miR-199b-5p` + `hsa-miR-28-5p` + `hsa-miR-32-5p` + `hsa-miR-339-5p` + `hsa-miR-3614-5p` + `hsa-miR-365b-5p` + `hsa-miR-374a-3p` + `hsa-miR-502-3p` + `hsa-miR-671-5p` + `hsa-miR-944` + `hsa-let-7a-2-3p`)	LGG	Unchanged	Variável	Macrophage M1_CIBERSORT, 0.265019762736407, 1, Variable	anti-tumoral	Anti-tumoral: 0.38603845701383 ( Macrophage M1_CIBERSORT(0.265019762736407), Common lymphoid progenitor_XCELL(0.388408546214369), T cell CD4+ Th1_XCELL(-0.267389851936946) ) Pró-tumoral: 0 (  ) Dualista: -0.013526909592364 ( T cell CD4+ memory resting_CIBERSORT(0.330488321478948), B cell plasma_CIBERSORT(-0.31727564980578), Hematopoietic stem cell_XCELL(0.370498619378647), T cell CD4+ naive_CIBERSORT(-0.397238200644179) )
(`hsa-miR-1247-3p` + `hsa-miR-1247-5p` + `hsa-miR-1258` + `hsa-miR-181c-5p` + `hsa-miR-381-3p` + `hsa-miR-490-3p` + `hsa-let-7a-5p`)	LUSC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.569238003361672 ( Endothelial cell_XCELL(0.265189970818975), Cancer associated fibroblast_XCELL(0.304048032542697) ) Dualista: -0.370836158211595 ( Hematopoietic stem cell_XCELL(0.370836158211595) )
(`hsa-miR-1247-3p` + `hsa-miR-1247-5p` + `hsa-miR-134-3p` + `hsa-miR-134-5p` + `hsa-miR-199b-5p` + `hsa-miR-199b-3p` + `hsa-miR-34b-3p` + `hsa-miR-34b-5p` + `hsa-miR-34c-3p` + `hsa-miR-34c-5p` + `hsa-miR-379-3p` + `hsa-miR-675-3p`)	THCA	Underexpression	Frio	"c(""""T cell regulatory (Tregs)_CIBERSORT"""", """"Macrophage M1_CIBERSORT""""), c(0.260640826405211, 0.317833721528896), c(1, 1), c(""""Variable"""", """"Cold"""")"	anti-tumoral	Anti-tumoral: -0.317833721528896 ( Macrophage M1_CIBERSORT(0.317833721528896) ) Pró-tumoral: -0.744199183838448 ( T cell regulatory (Tregs)_CIBERSORT(0.260640826405211), Cancer associated fibroblast_XCELL(0.483558357433237) ) Dualista: -1.09404586541724 ( Class-switched memory B cell_XCELL(0.352393371668939), NK cell resting_CIBERSORT(-0.332434189076082), B cell memory_CIBERSORT(0.307774621641048), Myeloid dendritic cell resting_CIBERSORT(0.472726642310312), T cell CD4+ memory resting_CIBERSORT(0.293585418873028) )
(`hsa-miR-1247-3p` + `hsa-miR-1247-5p` + `hsa-miR-134-3p` + `hsa-miR-154-5p` + `hsa-miR-199b-3p` + `hsa-miR-199b-5p` + `hsa-miR-299-3p`)	HNSC	Underexpression	Variável	Macrophage M2_CIBERSORT, 0.263288796249616, 1, Variable	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.552339729493739 ( Cancer associated fibroblast_XCELL(0.289050933244123), Macrophage M2_CIBERSORT(0.263288796249616) ) Dualista: -0.255745070760313 ( Hematopoietic stem cell_XCELL(0.255745070760313) )
(`hsa-miR-1247-3p` + `hsa-miR-1247-5p` + `hsa-miR-184` + `hsa-miR-34b-3p` + `hsa-miR-34c-3p` + `hsa-miR-6720-3p`)	LUAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.294548951852957 ( T cell CD4+ Th1_XCELL(-0.294548951852957) ) Pró-tumoral: -0.366172067644951 ( Cancer associated fibroblast_XCELL(0.366172067644951) ) Dualista: -0.993631746318278 ( B cell memory_CIBERSORT(0.271997615679579), Hematopoietic stem cell_XCELL(0.36301549464043), Mast cell activated_CIBERSORT(0.358618635998269) )
(`hsa-miR-1247-3p` + `hsa-miR-1247-5p`)	PAAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
(`hsa-miR-1247-3p` + `hsa-miR-199b-3p`)	LIHC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.897552527287903 ( Endothelial cell_XCELL(0.316552054894769), Cancer associated fibroblast_XCELL(0.581000472393134) ) Dualista: -0.794964421754426 ( T cell CD4+ memory resting_CIBERSORT(0.301806589216393), Hematopoietic stem cell_XCELL(0.493157832538033) )
(`hsa-miR-1247-3p` + `hsa-miR-199b-3p`)	TGCT	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 1.96992633426976 ( Macrophage M2_CIBERSORT(0.66092253465635), Endothelial cell_XCELL(0.63814648711652), Cancer associated fibroblast_XCELL(0.67085731249689) ) Dualista: -0.519601244541724 ( T cell CD4+ Th2_XCELL(-0.580994439615692), Class-switched memory B cell_XCELL(-0.672479704722092), Hematopoietic stem cell_XCELL(0.73387289979606) )
(`hsa-miR-1247-3p` + `hsa-miR-337-3p`)	KIRC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.630421872836551 ( Endothelial cell_XCELL(0.327132564005071), Cancer associated fibroblast_XCELL(0.30328930883148) ) Dualista: -0.134348236749558 ( Hematopoietic stem cell_XCELL(0.433043267980474), Class-switched memory B cell_XCELL(-0.298695031230916) )
(`hsa-miR-1247-5p` + `hsa-miR-1247-3p` + `hsa-miR-135b-3p` + `hsa-miR-135b-5p` + `hsa-miR-181c-5p` + `hsa-miR-181c-3p` + `hsa-miR-194-3p` + `hsa-miR-212-3p` + `hsa-miR-28-5p` + `hsa-miR-483-3p` + `hsa-miR-483-5p` + `hsa-miR-615-3p`)	KICH	Underexpression			NS	No data
(`hsa-miR-1247-5p` + `hsa-miR-1247-3p`)	UCEC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
(`hsa-miR-1247-5p` + `hsa-miR-134-5p` + `hsa-miR-199b-3p` + `hsa-miR-299-5p` + `hsa-miR-432-5p` + `hsa-miR-487a-5p`)	OV	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.433095561845247 ( Cancer associated fibroblast_XCELL(0.433095561845247) ) Dualista: 0.342155424325058 ( Hematopoietic stem cell_XCELL(0.342155424325058) )
(`hsa-miR-1247-5p` + `hsa-miR-135a-3p` + `hsa-miR-181b-5p` + `hsa-miR-199b-5p` + `hsa-miR-215-3p` + `hsa-miR-28-3p` + `hsa-miR-28-5p` + `hsa-miR-3187-3p` + `hsa-miR-328-3p` + `hsa-miR-331-3p` + `hsa-miR-383-5p` + `hsa-miR-450b-5p` + `hsa-miR-483-5p` + `hsa-miR-490-3p` + `hsa-miR-500a-3p` + `hsa-miR-503-5p` + `hsa-miR-503-3p` + `hsa-miR-503-3p` + `hsa-miR-503-5p` + `hsa-miR-6720-3p` + `hsa-miR-675-3p` + `hsa-miR-744-5p` + `hsa-miR-940` + `hsa-let-7a-2-3p`)	TGCT	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 2.04572860856467 ( Cancer associated fibroblast_XCELL(0.701994942849583), Endothelial cell_XCELL(0.663450069022824), Macrophage M2_CIBERSORT(0.680283596692266) ) Dualista: -0.994492647363414 ( Class-switched memory B cell_XCELL(-0.690700518321712), B cell naive_CIBERSORT(-0.478925818881274), T cell CD4+ Th2_XCELL(-0.560006299170386), Hematopoietic stem cell_XCELL(0.735139989009958) )
(`hsa-miR-1247-5p` + `hsa-miR-490-3p`)	LIHC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.531321109054203 ( Cancer associated fibroblast_XCELL(0.531321109054203) ) Dualista: -0.471107932503203 ( Hematopoietic stem cell_XCELL(0.471107932503203) )
(`hsa-miR-1258` + `hsa-miR-134-5p` + `hsa-miR-379-5p`)	PRAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: -0.043946409467903 ( T cell CD4+ Th1_XCELL(-0.285214269059968), Granulocyte-monocyte progenitor_XCELL(0.329160678527871) ) Pró-tumoral: -0.499560522922031 ( Cancer associated fibroblast_XCELL(0.499560522922031) ) Dualista: -0.773442303624875 ( T cell CD4+ memory resting_CIBERSORT(0.279693241525792), Hematopoietic stem cell_XCELL(0.493749062099083) )
(`hsa-miR-1258` + `hsa-miR-181c-3p` + `hsa-miR-369-5p` + `hsa-miR-450b-5p` + `hsa-miR-503-3p` + `hsa-miR-503-3p` + `hsa-let-7a-2-3p`)	LIHC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.497136489342029 ( Cancer associated fibroblast_XCELL(0.497136489342029) ) Dualista: -0.459971770203504 ( Hematopoietic stem cell_XCELL(0.459971770203504) )
(`hsa-miR-1258` + `hsa-miR-28-3p` + `hsa-miR-383-5p` + `hsa-miR-504-5p`)	STAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.28738492072693 ( T cell CD4+ Th1_XCELL(-0.28738492072693) ) Pró-tumoral: -0.44736790933431 ( Cancer associated fibroblast_XCELL(0.44736790933431) ) Dualista: -0.878070270137275 ( Mast cell activated_CIBERSORT(0.388015127155545), Hematopoietic stem cell_XCELL(0.49005514298173) )
(`hsa-miR-1258` + `hsa-miR-490-3p`)	ESCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -0.430484942420147 ( Cancer associated fibroblast_XCELL(0.430484942420147) ) Dualista: 0 (  )
(`hsa-miR-1258` + `hsa-miR-500a-5p` + `hsa-miR-890` + `hsa-miR-891b` + `hsa-miR-892b`)	KIRC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
(`hsa-miR-125b-1-3p` + `hsa-miR-125b-5p` + `hsa-miR-181a-5p` + `hsa-miR-181a-2-3p`)	TGCT	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 2.06214090588532 ( Cancer associated fibroblast_XCELL(0.760734644883743), Endothelial cell_XCELL(0.701651192326967), Macrophage M2_CIBERSORT(0.599755068674606) ) Dualista: -0.870472240036632 ( B cell naive_CIBERSORT(-0.42734425728137), Class-switched memory B cell_XCELL(-0.629637661061961), Hematopoietic stem cell_XCELL(0.731176977129328), T cell CD4+ Th2_XCELL(-0.544667298822629) )
(`hsa-miR-125b-2-3p` + `hsa-let-7c-5p`)	COAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: -0.585802183167253 ( Hematopoietic stem cell_XCELL(0.585802183167253) )
(`hsa-miR-125b-2-3p` + `hsa-miR-133a-3p` + `hsa-miR-133b` + `hsa-miR-218-5p` + `hsa-miR-218-5p`)	LUAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.595740206887724 ( T cell CD4+ Th1_XCELL(-0.307465118791268), Common lymphoid progenitor_XCELL(-0.288275088096456) ) Pró-tumoral: -0.890027227251019 ( Cancer associated fibroblast_XCELL(0.482994769681734), Endothelial cell_XCELL(0.407032457569285) ) Dualista: -0.833736834119595 ( Mast cell activated_CIBERSORT(0.361544584972066), T cell CD4+ Th2_XCELL(-0.356364163698515), Hematopoietic stem cell_XCELL(0.58726836754318), B cell memory_CIBERSORT(0.241288045302864) )
